Issue Id,Issue Type,Summary,Description,Priority,Component,Labels,Assignee,Parent Id,Depends On,Sprint,Story Points,Definition of Done
SCORE-030,Story,Implement Binary-Plus scoring service,"Compute baseline and insight score with evidence references.",Highest,learning-assessment,"scoring,m3",Assessment Engineer,EPIC-SCORE,SCORE-001|TRACE-020,Sprint 5,5,"Scores are reproducible and version tagged"
INTEG-030,Story,Implement process-aware integrity engine,"Generate integrity flags from edit progression and dialogue behavior.",Highest,learning-assessment,"integrity,m3",Assessment Engineer,EPIC-SCORE,TRACE-020,Sprint 5,5,"Integrity evidence bundle available for evaluator"
AI-031,Story,Implement mode-aware hint fade-out policy,"Apply practice/interview/exam budgets with server-side enforcement.",Highest,workspace-ai,"fadeout,m3",ML Engineer,EPIC-SCORE,AI-020,Sprint 5,5,"Exam mode cap bypass impossible in tests"
TEST-030,Story,Build fade-out and policy conformance tests,"Add automated tests for budget, transitions, and denied requests.",High,qa,"testing,m3",QA Lead,EPIC-SCORE,AI-031,Sprint 5,3,"All policy tests pass in CI"
AUTH-040,Story,Build zero-shot authoring flow from URL,"Generate tracks and review outputs before publish.",High,learning-assessment,"authoring,m4",Frontend Lead,EPIC-LMS,PLAT-011,Sprint 6,5,"Instructor can generate and review track"
AUTH-041,Story,Implement competency map and publish workflow,"Attach skill tags and thresholds to published tracks.",High,learning-assessment,"competency,m4",Assessment Lead,EPIC-LMS,AUTH-040,Sprint 6,3,"Published track contains competency metadata"
EVAL-040,Story,Build evaluator queue and replay review,"Implement review queue, replay, and decision capture.",High,learning-assessment,"evaluator,m4",Frontend Engineer,EPIC-LMS,INTEG-030,Sprint 6,5,"Evaluator can submit decision with rationale"
LMS-040,Story,Implement competency-rich LMS sync,"Send score split, skill tags, and evidence refs to LMS connector.",Highest,lms-integration,"lms,m4",Backend Lead,EPIC-LMS,AUTH-041|SCORE-030,Sprint 6,5,"Payload sync success and retry diagnostics validated"
SIM-050,Story,Build simulator orchestrator and scenario schema,"Create scenario runner and base schema for demo generation.",Highest,simulator,"simulator,m5",Simulator Lead,EPIC-SIM,SIM-001,Sprint 7,5,"Scenario can bootstrap demo tenant and batch"
SIM-051,Story,Build synthetic cohort and event generators,"Generate attempts, submissions, evaluator events through simulator APIs.",Highest,simulator,"simulator,m5",Simulator Engineer,EPIC-SIM,SIM-050,Sprint 7,5,"Synthetic data populates dashboards and evaluator queues"
SIM-052,Story,Implement historical replay and reset/purge,"Replay scenarios and purge by scenario id safely.",High,simulator,"simulator,m5",Simulator Engineer,EPIC-SIM,SIM-051,Sprint 7,3,"Replay and purge workflows validated"
GOV-050,Story,Enforce simulation labeling and compliance checks,"Validate simulation_source and scenario_id across generated records.",High,security,"governance,m5",Security Engineer,EPIC-SIM,SIM-051,Sprint 7,3,"Compliance report shows 100 percent labeled synthetic records"
MIS-060,Story,Build MIS cohort and operational dashboards,"Add skill heatmaps, cohort status, latency metrics, and integrity trends.",High,insights-certification,"mis,m6",Data Engineer,EPIC-MIS,SIM-051|LMS-040,Sprint 8,5,"Dashboards load tenant-scoped analytics"
MIS-061,Story,Build scheduled exports,"Provide CSV/API exports with scoped permissions.",Medium,insights-certification,"mis,m6",Data Engineer,EPIC-MIS,MIS-060,Sprint 8,3,"Scheduled export jobs complete and are auditable"
CERT-060,Story,Build results release and certificate lifecycle,"Implement release windows and certificate issue/revoke/verify.",High,insights-certification,"certification,m6",Backend Engineer,EPIC-MIS,LMS-040,Sprint 8,5,"Certificate lifecycle fully functional with verification endpoint"
QA-060,Story,Build one-click simulator demo script,"Produce deterministic full journey script for demos and regression checks.",High,simulator,"qa,m6",QA Lead,EPIC-MIS,SIM-052|CERT-060,Sprint 8,3,"One command runs complete role journey"
